Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0603_1608Metric",18.524200,-6.346000,90.000000,top
"C2","100n","C_0402_1005Metric",25.950000,-6.753500,270.000000,top
"C3","22u","C_0603_1608Metric",25.450000,-2.328500,90.000000,top
"C4","22u","C_0603_1608Metric",12.974200,-5.436000,270.000000,top
"C13","10uF","C_0402_1005Metric",17.249200,-4.907700,270.000000,top
"C14","100nF","C_0402_1005Metric",19.784200,-5.843500,90.000000,top
"C15","100nF","C_0402_1005Metric",16.049200,-4.897700,270.000000,top
"C16","47pF","C_0402_1005Metric",18.749200,-4.308500,180.000000,top
"C17","10uF","C_0402_1005Metric",14.819200,-4.882700,270.000000,top
"C20","8pF","C_0402_1005Metric",16.975000,6.096500,90.000000,top
"C21","8pF","C_0402_1005Metric",13.475000,6.036500,270.000000,top
"CX1","100pF","C_0402_1005Metric",28.065000,2.696500,0.000000,top
"CY1","120pF","C_0402_1005Metric",27.790000,1.821500,0.000000,top
"D2","TPD4S012DRYR","UFDFN-6_1.45x1mm",14.829200,0.271500,270.000000,top
"F1","GD25Q16CEIGR","FLASH_2x3_USON8",27.750000,-5.428500,90.000000,top
"FID1","Fiducial","Fiducial_0.5mm_Mask1mm",8.950000,-3.728500,0.000000,top
"FID2","Fiducial","Fiducial_0.5mm_Mask1mm",25.210000,3.556500,0.000000,top
"J1","USB_A","USB-A-PLUG",2.038180,0.612460,180.000000,top
"J2","Conn_01x04","FPC_4_0.5-THD0509-04CL-GF",27.060000,7.346500,0.000000,top
"L1","LED_RGBA","RGB_LED_606",24.935000,1.526500,270.000000,top
"L2","4u7H","L_0603_1608Metric",14.894200,-2.361000,90.000000,top
"N1","FM11NC08","DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm",27.710000,-0.583500,270.000000,top
"R1","180R","R_0402_1005Metric",24.345000,-1.943500,90.000000,top
"R2","4.7k","R_0402_1005Metric",23.900000,5.046500,90.000000,top
"R3","4.7k","R_0402_1005Metric",19.174200,6.211500,90.000000,top
"R4","4.7k","R_0402_1005Metric",20.185000,-7.353500,0.000000,top
"R5","4.7k","R_0402_1005Metric",17.969200,7.671500,180.000000,top
"R6","4.7k","R_0402_1005Metric",14.625000,2.936500,270.000000,top
"R7","4.7k","R_0402_1005Metric",18.164200,6.201500,270.000000,top
"R8","DNP","R_0402_1005Metric",15.974200,7.671500,0.000000,top
"T1","TLV742p","Texas_X2SON-4_1x1mm_P0.65mm",16.494200,-6.788500,180.000000,top
"U1","LPC55S69JEV98K","BGA98C50P13X13_700X700X97N",19.485000,0.786500,270.000000,top
"U2","MTCH101","SOT-23-6",21.604200,6.381500,180.000000,top
"U3","SE050","UQFN-20-1EP_3x3mm_P0.4mm_EP1.85x1.85mm",23.250000,-5.468500,270.000000,top
"Y1","XRCGB16M000FXN01R0","Crystal-2mmx1.6mm",15.885000,5.496500,180.000000,top
"Z1","GG040205100N2P","R_0402_1005Metric",14.950000,-6.778500,270.000000,top
